Judge,URL,Slug,Born,Confirmed,Court,Died,Education,President,Service Terminated
Legislative History,https://www.fjc.gov/history/courts/us-district-court-district-new-mexico-legislative-history,history/courts/us-district-court-district-new-mexico-legislative-history,[],[],[],[],[],[],[]
Succession Chart,https://www.fjc.gov/history/courts/us-district-court-district-new-mexico-succession-chart,history/courts/us-district-court-district-new-mexico-succession-chart,[],[],[],[],[],[],[]
Meeting Places,https://www.fjc.gov/history/courts/u.s.-district-court-district-new-mexico-meeting-places,history/courts/u.s.-district-court-district-new-mexico-meeting-places,[],[],[],[],[],[],[]
Records and Bibliography,https://www.fjc.gov/history/courts/u.s.-district-court-district-new-mexico-records-and-bibliography,history/courts/u.s.-district-court-district-new-mexico-records-and-bibliography,[],[],[],[],[],[],[]
"Duane, James",https://www.fjc.gov/history/judges/duane-james,history/judges/duane-james,['1733'],"['September 25, 1789']",['U.S. District Court for the District of New York'],['1797'],"['Read law, 1754']",['George Washington'],['resignation']
"Laurance, John",https://www.fjc.gov/history/judges/laurance-john,history/judges/laurance-john,['1750'],"['May 6, 1794']",['U.S. District Court for the District of New York'],['1810'],"['Read law, 1772']",['George Washington'],['resignation']
"Troup, Robert",https://www.fjc.gov/history/judges/troup-robert,history/judges/troup-robert,['1757'],"['December 10, 1796']",['U.S. District Court for the District of New York'],['1832'],"['Read lawKing`s College (now Columbia University), 1774']",['George Washington'],['resignation']
"Hobart, John Sloss",https://www.fjc.gov/history/judges/hobart-john-sloss,history/judges/hobart-john-sloss,['1738'],"['April 12, 1798']",['U.S. District Court for the District of New York'],['1805'],"['Yale College, 1757']",['John Adams'],['death']
"Tallmadge, Matthias Burnett",https://www.fjc.gov/history/judges/tallmadge-matthias-burnett,history/judges/tallmadge-matthias-burnett,['1774'],"['December 23, 1805']",[],['1819'],"['Read lawYale College, 1795']",[],"['reassignment.Judge, U.S. District Court for the Northern District of New YorkReassigned on April 9, 1814, to a new seat authorized by 3 Stat. 120. Service terminated on July 1, 1819, due to resignation']"
"Van Ness, William Peter",https://www.fjc.gov/history/judges/van-ness-william-peter,history/judges/van-ness-william-peter,['1778'],"['May 26, 1812']",['U.S. District Court for the District of New York'],['1826'],"['Columbia College, 1797Read law, 1800']",['James Madison'],"['reassignment.Judge, U.S. District Court for the Southern District of New YorkReassigned on April 9, 1814, to a new seat authorized by 3 Stat. 120. Service terminated on September 6, 1826, due to death']"
"Skinner, Roger",https://www.fjc.gov/history/judges/skinner-roger,history/judges/skinner-roger,['1773'],"['January 5, 1820']",[],['1825'],[],[],[]
"Conkling, Alfred",https://www.fjc.gov/history/judges/conkling-alfred,history/judges/conkling-alfred,['1789'],"['December 14, 1825']",[],['1874'],"['Union College, 1810Read law, 1812']",[],['resignation']
"Betts, Samuel Rossiter",https://www.fjc.gov/history/judges/betts-samuel-rossiter,history/judges/betts-samuel-rossiter,['1786'],"['December 21, 1826']",['U.S. District Court for the Southern District of New York'],['1868'],"['Williams College, 1806Read law, 1807']",['John Quincy'],['resignation']
"Hall, Nathan Kelsey",https://www.fjc.gov/history/judges/hall-nathan-kelsey,history/judges/hall-nathan-kelsey,['1810'],"['August 31, 1852']",['U.S. District Court for the Northern District of New York'],['1874'],"['Read law, 1832']",['Millard Fillmore'],['death']
"Benedict, Charles Linnaeus",https://www.fjc.gov/history/judges/benedict-charles-linnaeus,history/judges/benedict-charles-linnaeus,['1824'],"['March 9, 1865']",['U.S. District Court for the Eastern District of New York'],['1901'],"['University of Vermont, 1844Read law, 1845']",['Abraham Lincoln'],['retirement']
"Blatchford, Samuel M.",https://www.fjc.gov/history/judges/blatchford-samuel-m,history/judges/blatchford-samuel-m,['1820'],"['July 16, 1867', 'March 4, 1878', 'March 22, 1882']","['U.S. District Court for the Southern District of New YorkReceived a recess appointment from Andrew Johnson on May 3, 1867, to a seat vacated by Samuel R. Betts; nominated to the same position by Andrew Johnson on July 13, 1867. Confirmed by the Senate on July 16, 1867, and received commission on July 16, 1867. Service terminated on March 4, 1878, due to appointment to another judicial position.Judge, U.S. Circuit Courts for the Second Circuit']",['1893'],"['Columbia College, B.A., 1837Read law, 1843']","['Rutherford B. Hayes', 'Chester A. Arthur']",[]
"Wallace, William James",https://www.fjc.gov/history/judges/wallace-william-james,history/judges/wallace-william-james,['1837'],"['April 7, 1874', 'April 6, 1882']",['U.S. District Court for the Northern District of New York'],['1917'],"['Syracuse UniversityHamilton College Law Department, LL.B., 1857Read law, 1858']","['Ulysses Grant', 'Chester A. Arthur']","['appointment to another judicial position.Judge, U.S. Circuit Courts for the Second CircuitNominated by Chester A. Arthur on March 28, 1882, to a seat vacated by Samuel M. Blatchford. Confirmed by the Senate on April 6, 1882, and received commission on April 6, 1882. Service terminated on May 8, 1907, due to retirement.Judge, U.S. Court of Appeals for the Second CircuitAssigned on June 16, 1891, to a new seat authorized by 26 Stat. 826. Service terminated on May 8, 1907, due to retirement']"
"Choate, William Gardner",https://www.fjc.gov/history/judges/choate-william-gardner,history/judges/choate-william-gardner,['1830'],"['March 25, 1878']",['U.S. District Court for the Southern District of New York'],['1920'],"['Harvard University, A.B., 1852Harvard Law School, LL.B., 1854']",['Rutherford B. Hayes'],['resignation']
"Brown, Addison",https://www.fjc.gov/history/judges/brown-addison,history/judges/brown-addison,['1830'],"['October 14, 1881']",[],['1913'],"['Harvard University, A.B., 1852Harvard Law School, LL.B., 1854']",[],['retirement']
"Coxe, Alfred Conkling, Sr.",https://www.fjc.gov/history/judges/coxe-alfred-conkling-sr,history/judges/coxe-alfred-conkling-sr,['1847'],"['May 4, 1882', 'June 3, 1902', 'June 3, 1902']",['U.S. District Court for the Northern District of New York'],['1923'],"['Read law, 1868']","['Chester A. Arthur', 'Theodore Roosevelt', 'Theodore Roosevelt']","['appointment to another judicial position.Judge, U.S. Circuit Courts for the Second CircuitNominated by Theodore Roosevelt on May 29, 1902, to a new seat authorized by 32 Stat. 106. Confirmed by the Senate on June 3, 1902, and received commission on June 3, 1902. Service terminated on December 31, 1911, due to abolition of the court.Judge, U.S. Court of Appeals for the Second CircuitNominated by Theodore Roosevelt on May 29, 1902, to a new seat authorized by 32 Stat. 106. Confirmed by the Senate on June 3, 1902, and received commission on June 3, 1902. Service terminated on July 31, 1917, due to retirement']"
"Tenney, Asa Wentworth",https://www.fjc.gov/history/judges/tenney-asa-wentworth,history/judges/tenney-asa-wentworth,['1833'],"['July 8, 1897']",['U.S. District Court for the Eastern District of New York'],['1897'],"['Dartmouth College, 1859Read law, 1863']",['William Mc'],['death']
"Thomas, Edward Beers",https://www.fjc.gov/history/judges/thomas-edward-beers,history/judges/thomas-edward-beers,['1848'],"['February 15, 1898']",['U.S. District Court for the Eastern District of New York'],['1929'],"['Yale College, A.B., 1870']",['William Mc'],['resignation']
"Hazel, John Raymond",https://www.fjc.gov/history/judges/hazel-john-raymond,history/judges/hazel-john-raymond,['1860'],"['June 5, 1900']",['U.S. District Court for the Western District of New York'],[],"['Read law, 1882']",['William Mc'],['retirement']
"Adams, George Bethune",https://www.fjc.gov/history/judges/adams-george-bethune,history/judges/adams-george-bethune,['1845'],"['December 17, 1901']",[],[],"['Read law, 1878']",[],['death']
"Ray, George Washington",https://www.fjc.gov/history/judges/ray-george-washington,history/judges/ray-george-washington,['1844'],"['December 8, 1902']",[],['1925'],"['Read law, 1867']",[],['death']
"Holt, George Chandler",https://www.fjc.gov/history/judges/holt-george-chandler,history/judges/holt-george-chandler,['1843'],"['March 3, 1903']",['U.S. District Court for the Southern District of New York'],['1931'],"['Yale College, A.B., 1866Columbia Law School, LL.B., 1869']",['Theodore Roosevelt'],"['retirement.Other Federal Judicial Service:Referee in Bankruptcy, Southern District of New York, 1898-190']"
"Hough, Charles Merrill",https://www.fjc.gov/history/judges/hough-charles-merrill,history/judges/hough-charles-merrill,['1858'],"['June 27, 1906', 'August 21, 1916']",['U.S. District Court for the Southern District of New York'],['1927'],"['Dartmouth College, A.B., 1879Read law, 1883']","['Theodore Roosevelt', 'Woodrow Wilson']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Second CircuitNominated by Woodrow Wilson on August 15, 1916, to a seat vacated by Emile Henry Lacombe. Confirmed by the Senate on August 21, 1916, and received commission on August 21, 1916. Service terminated on April 22, 1927, due to death']"
"Chatfield, Thomas",https://www.fjc.gov/history/judges/chatfield-thomas,history/judges/chatfield-thomas,['1871'],"['January 9, 1907']",['U.S. District Court for the Eastern District of New York'],['1922'],"['Yale College, A.B., 1893Columbia Law School, LL.B., 1896']",['Theodore Roosevelt'],['death']
"Hand, Learned",https://www.fjc.gov/history/judges/hand-learned,history/judges/hand-learned,['1872'],"['April 26, 1909', 'December 20, 1924']",['U.S. District Court for the Southern District of New York'],['1961'],"['Harvard College, A.B., 1893Harvard College, A.M., 1893Harvard Law School, LL.B., 1896']","['William H. Taft', 'Calvin Coolidge']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Second CircuitNominated by Calvin Coolidge on December 2, 1924, to a seat vacated by Julius Marshuetz Mayer. Confirmed by the Senate on December 20, 1924, and received commission on December 20, 1924. Served as chief judge, 1948-1951. Assumed senior status on June 1, 1951. Service terminated on August 18, 1961, due to death']"
"Veeder, Van Vechten",https://www.fjc.gov/history/judges/veeder-van-vechten,history/judges/veeder-van-vechten,['1867'],"['January 26, 1911']",['U.S. District Court for the Eastern District of New York'],['1942'],"['Columbia CollegeUniversity of VirginiaRead law, 1890']",['William H. Taft'],['resignation']
"Mayer, Julius Marshuetz",https://www.fjc.gov/history/judges/mayer-julius-marshuetz,history/judges/mayer-julius-marshuetz,['1865'],"['February 26, 1912', 'October 5, 1921']",['U.S. District Court for the Southern District of New York'],['1925'],"['City College of New York, A.B., 1884Columbia Law School, LL.B., 1886']","['William H. Taft', 'Warren G. Harding']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Second CircuitNominated by Warren G. Harding on September 22, 1921, to a seat vacated by Henry Galbraith Ward. Confirmed by the Senate on October 5, 1921, and received commission on October 5, 1921. Service terminated on July 31, 1924, due to resignation']"
"Hand, Augustus Noble",https://www.fjc.gov/history/judges/hand-augustus-noble,history/judges/hand-augustus-noble,['1869'],"['September 30, 1914', 'January 18, 1928']",['U.S. District Court for the Southern District of New York'],['1954'],"['Harvard College, A.B., 1890Harvard Law School, LL.B., 1894']",['Woodrow Wilson'],"['appointment to another judicial position.Judge, U.S. Court of Appeals for the Second CircuitReceived a recess appointment from Calvin Coolidge on May 19, 1927, to a seat vacated by Charles Merrill Hough; nominated to the same position by Calvin Coolidge on December 6, 1927. Confirmed by the Senate on January 18, 1928, and received commission on January 18, 1928. Assumed senior status on June 30, 1953. Service terminated on October 28, 1954, due to death']"
"Manton, Martin Thomas",https://www.fjc.gov/history/judges/manton-martin-thomas,history/judges/manton-martin-thomas,['1880'],"['August 23, 1916', 'March 18, 1918']",['U.S. District Court for the Southern District of New York'],['1946'],"['Columbia Law School, LL.B., 1901']","['Woodrow Wilson', 'Woodrow Wilson']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Second CircuitNominated by Woodrow Wilson on March 12, 1918, to a seat vacated by Alfred Conkling Coxe. Confirmed by the Senate on March 18, 1918, and received commission on March 18, 1918. Service terminated on February 7, 1939, due to resignation']"
"Garvin, Edwin Louis",https://www.fjc.gov/history/judges/garvin-edwin-louis,history/judges/garvin-edwin-louis,['1877'],"['March 21, 1918']",['U.S. District Court for the Eastern District of New York'],['1960'],"['New York University, A.B., 1897New York University School of Law, LL.B., 1899']",['Woodrow Wilson'],['resignation']
"Knox, John Clark",https://www.fjc.gov/history/judges/knox-john-clark,history/judges/knox-john-clark,['1881'],"['April 12, 1918']",['U.S. District Court for the Southern District of New York'],[],"['University of Pennsylvania Law SchoolWaynesburg College, A.B., 1902Read law, 1904']",['Woodrow Wilson'],['death']
"Cooper, Frank",https://www.fjc.gov/history/judges/cooper-frank,history/judges/cooper-frank,['1869'],"['June 3, 1920']",['U.S. District Court for the Northern District of New York'],['1946'],"['Union College, A.B., 1893Read law, 1895Union College, A.M., 1896']",['Woodrow Wilson'],['death']
"Campbell, Marcus Beach",https://www.fjc.gov/history/judges/campbell-marcus-beach,history/judges/campbell-marcus-beach,['1866'],"['January 3, 1923']",['U.S. District Court for the Eastern District of New York'],['1944'],"['New York University School of Law, LL.B.']",['Warren G. Harding'],['death']
"Goddard, Henry Warren",https://www.fjc.gov/history/judges/goddard-henry-warren,history/judges/goddard-henry-warren,['1876'],"['January 4, 1923']",['U.S. District Court for the Southern District of New York'],['1955'],"['New York Law School, LL.B., 1901']",['Warren G. Harding'],['death']
